journal,issn,citable_items,citations,calc_if,jcr_if,openalex_if,ratio,coverage_pct,match
Nature Reviews Neuroscience,1471-003X,93,3390,36.45,28.7,,1.27,32.1,good
Nature Neuroscience,1097-6256,297,8585,28.91,21.2,20.22,1.36,32.5,good
Neuron,0896-6273,485,9261,19.09,14.7,17.5,1.3,33.5,good
Trends in Neurosciences,0166-2236,141,2470,17.52,14.6,12.07,1.2,32.0,good
Annual Review of Neuroscience,0147-006X,52,871,16.75,12.1,18.71,1.38,36.1,good
Brain,0006-8950,718,8285,11.54,10.6,10.89,1.09,33.0,good
Molecular Psychiatry,1359-4184,823,8848,10.75,9.6,11.53,1.12,32.7,good
Biological Psychiatry,0006-3223,359,3761,10.48,9.6,1.62,1.09,30.9,good
Progress in Neurobiology,0301-0082,221,1810,8.19,6.7,5.49,1.22,33.0,good
Current Opinion in Neurobiology,0959-4388,271,1898,7.0,4.8,7.2,1.46,34.1,good
NeuroImage,1053-8119,1914,12150,6.35,4.7,6.8,1.35,32.5,good
Cerebral Cortex,1047-3211,1038,3543,3.41,2.9,4.43,1.18,32.5,good
Journal of Neurophysiology,0022-3077,585,1719,2.94,2.1,3.02,1.4,32.2,good
Frontiers in Neuroscience,1662-453X,3935,13954,3.55,3.2,5.3,1.11,35.4,good
Journal of Neuroscience,0270-6474,895,134,0.15,4.4,5.43,0.03,0.9,poor
Neuropsychopharmacology,0893-133X,428,3242,7.57,6.6,6.73,1.15,31.6,good
Brain Stimulation,1935-861X,249,1896,7.61,7.6,1.57,1.0,33.4,good
eLife,2050-084X,3899,606,0.16,6.4,6.2,0.02,0.6,poor
Nature Biomedical Engineering,2157-846X,231,7047,30.51,26.8,17.87,1.14,32.5,good
Biomaterials,0142-9612,1234,16703,13.54,12.8,11.05,1.06,33.9,good
Journal of Neural Engineering,1741-2552,0,0,0.0,3.7,4.87,,0.0,no_jcr
IEEE Trans Biomedical Engineering,0018-9294,703,188,0.27,4.4,,0.06,1.7,poor
IEEE Trans Neural Syst Rehabil Eng,1534-4320,552,179,0.32,4.8,,0.07,1.9,poor
Biomedical Engineering Online,1475-925X,207,752,3.63,2.9,5.51,1.25,35.3,good
Nature,0028-0836,2133,115324,54.07,50.5,21.9,1.07,32.2,good
Science,0036-8075,1545,71329,46.17,44.7,24.09,1.03,33.5,good
Cell,0092-8674,657,35485,54.01,45.5,44.97,1.19,30.3,good
The Lancet,0140-6736,486,1800,3.7,98.4,18.85,0.04,1.4,poor
New England Journal of Medicine,0028-4793,561,1464,2.61,96.2,33.84,0.03,0.9,poor
JAMA,0098-7484,402,18155,45.16,63.1,10.14,0.72,34.1,good
Nature Medicine,1078-8956,476,26720,56.13,58.7,30.39,0.96,31.9,good
Nature Communications,2041-1723,14357,231651,16.14,14.7,19.7,1.1,32.6,good
PNAS,0027-8424,6873,70215,10.22,9.4,,1.09,34.2,good
