journal,issn,citable_items,citations,calc_if,jcr_if,openalex_if,ratio,coverage_pct,match
Nature Reviews Neuroscience,1471-003X,93,3390,36.45,28.7,,1.27,32.1,good
Nature Neuroscience,1097-6256,297,8585,28.91,21.2,20.22,1.36,32.5,good
Neuron,0896-6273,485,9261,19.09,14.7,17.5,1.3,33.5,good
Trends in Neurosciences,0166-2236,141,2470,17.52,14.6,12.07,1.2,32.0,good
Annual Review of Neuroscience,0147-006X,52,871,16.75,12.1,18.71,1.38,36.1,good
Brain,0006-8950,718,8285,11.54,10.6,10.89,1.09,33.0,good
Molecular Psychiatry,1359-4184,823,8848,10.75,9.6,11.53,1.12,32.7,good
Biological Psychiatry,0006-3223,359,3761,10.48,9.6,1.62,1.09,30.9,good
Progress in Neurobiology,0301-0082,221,1810,8.19,6.7,5.49,1.22,33.0,good
Current Opinion in Neurobiology,0959-4388,271,1898,7.0,4.8,7.2,1.46,34.1,good
NeuroImage,1053-8119,1914,12150,6.35,4.7,6.8,1.35,32.5,good
Cerebral Cortex,1047-3211,1038,3543,3.41,2.9,4.43,1.18,32.5,good
Journal of Neurophysiology,0022-3077,585,1719,2.94,2.1,3.02,1.4,32.2,good
Frontiers in Neuroscience,1662-453X,3935,13954,3.55,3.2,5.3,1.11,35.4,good
Journal of Neuroscience,0270-6474,895,134,0.15,4.4,5.43,0.03,0.9,poor
Neuropsychopharmacology,0893-133X,428,3242,7.57,6.6,6.73,1.15,31.6,good
Brain Stimulation,1935-861X,249,1896,7.61,7.6,1.57,1.0,33.4,good
eLife,2050-084X,3899,606,0.16,6.4,6.2,0.02,0.6,poor
